5958.20817012 - 6589.84198451;439
6589.84198451 - 7221.47579889;249
7221.47579889 - 7853.10961328;162
7853.10961328 - 8484.74342766;80
8484.74342766 - 9116.37724205;35
9116.37724205 - 9748.01105643;18
9748.01105643 - 10379.6448708;8
10379.6448708 - 11011.2786852;8
11011.2786852 - 11642.9124996;0
11642.9124996 - 12274.546314;1
end
5863.89510575 - 6551.67824622;371
6551.67824622 - 7239.4613867;331
7239.4613867 - 7927.24452718;171
7927.24452718 - 8615.02766766;67
8615.02766766 - 9302.81080813;29
9302.81080813 - 9990.59394861;16
9990.59394861 - 10678.3770891;8
10678.3770891 - 11366.1602296;3
11366.1602296 - 12053.94337;3
12053.94337 - 12741.7265105;1
end
